,portfolio_value
2011-11-02,100000.0
2011-11-03,100000.0
2011-11-04,100000.0
2011-11-07,100000.0
2011-11-08,100000.0
2011-11-09,100000.0
2011-11-10,100000.0
2011-11-11,100000.0
2011-11-14,100000.0
2011-11-15,100000.0
2011-11-16,100000.0
2011-11-17,100000.0
2011-11-18,100000.0
2011-11-21,100000.0
2011-11-22,100000.0
2011-11-23,100000.0
2011-11-25,100000.0
2011-11-28,100000.0
2011-11-29,100000.0
2011-11-30,100000.0
2011-12-01,100000.0
2011-12-02,100000.0
2011-12-05,100000.0
2011-12-06,100000.0
2011-12-07,100000.0
2011-12-08,100000.0
2011-12-09,100000.0
2011-12-12,100000.0
2011-12-13,100000.0
2011-12-14,100000.0
2011-12-15,100000.0
2011-12-16,100000.0
2011-12-19,100000.0
2011-12-20,100000.0
2011-12-21,100000.0
2011-12-22,100000.0
2011-12-23,100000.0
2011-12-27,100000.0
2011-12-28,100000.0
2011-12-29,100000.0
2011-12-30,100000.0
2012-01-03,99433.1952421538
2012-01-04,99197.47989494096
2012-01-05,98735.19306054678
2012-01-06,98835.5666212503
2012-01-09,99508.49360141746
2012-01-10,99136.90189399717
2012-01-11,99520.90511569087
2012-01-12,98840.85759456377
2012-01-13,99669.33984113278
2012-01-17,99997.13080375986
2012-01-18,100356.95969455934
2012-01-19,100141.87026510762
2012-01-20,99827.22968110321
2012-01-23,99864.63031903197
2012-01-24,100642.90078809457
2012-01-25,100469.32762316718
2012-01-26,100347.85995006876
2012-01-27,100117.4845871146
2012-01-30,99991.36052243596
2012-01-31,100895.0949432507
2012-02-01,100428.47668853623
2012-02-02,101626.21859937243
2012-02-03,101378.43472022403
2012-02-06,101376.62383229153
2012-02-07,101593.30122784595
2012-02-08,101666.53427871063
2012-02-09,100457.34668113268
2012-02-10,101478.92691030253
2012-02-13,100966.77307720667
2012-02-14,100344.689378725
2012-02-15,101049.72865685144
2012-02-16,101159.4660762348
2012-02-17,101014.11961011699
2012-02-21,100309.31273735693
2012-02-22,100688.7649668861
2012-02-23,100877.1432614574
2012-02-24,101151.02959538624
2012-02-27,101889.72078179805
2012-02-28,101450.79909816981
2012-02-29,102061.01424103334
2012-03-01,101862.569074903
2012-03-02,101268.34052408313
2012-03-05,99968.72470510422
2012-03-06,100707.39728524079
2012-03-07,101797.42685789916
2012-03-08,102333.22328754576
2012-03-09,102113.2866595267
2012-03-12,104024.10403270186
2012-03-13,104463.03874036434
2012-03-14,104724.03655749031
2012-03-15,104823.72977084928
2012-03-16,105872.28352939204
2012-03-19,105562.19384261499
2012-03-20,105966.3753982982
2012-03-21,105190.07966438092
2012-03-22,105166.55219091146
2012-03-23,106950.89020764639
2012-03-26,107066.37128251443
2012-03-27,106814.03435473696
2012-03-28,106570.24168807418
2012-03-29,106486.84173101741
2012-03-30,107376.45392297936
2012-04-02,107263.11343749877
2012-04-03,105770.44136753136
2012-04-04,106245.18966120823
2012-04-05,105522.37404481566
2012-04-09,104442.43180629665
2012-04-10,104478.78273070081
2012-04-11,105629.29927738976
2012-04-12,104123.79017541102
2012-04-13,103441.60666949245
